ImageId, X_min, Y_min, X_max, Y_max
1117.jpg,69,108,323,363
1118.jpg,155,41,332,311
1119.jpg,72,131,222,448
1120.jpg,190,24,395,272
1121.jpg,184,123,340,255
1122.jpg,91,41,309,244
1123.jpg,120,89,410,258
1124.jpg,49,74,496,317
1125.jpg,171,153,387,283
1126.jpg,168,150,482,356
1127.jpg,47,65,460,457
1128.jpg,178,13,346,348
1129.jpg,18,98,300,458
1130.jpg,38,46,277,296
1131.jpg,159,33,500,375
1132.jpg,211,109,322,216
1133.jpg,133,111,297,236
1134.jpg,83,104,203,343
1135.jpg,178,61,328,361
1136.jpg,28,64,379,374
1137.jpg,4,8,474,319
1138.jpg,161,117,361,330
1139.jpg,0,14,398,308
1140.jpg,217,27,394,146
1141.jpg,174,57,354,259
1142.jpg,148,109,401,251
1143.jpg,16,12,154,123
1144.jpg,164,90,283,224
1145.jpg,183,70,351,324
1146.jpg,197,65,430,305
1147.jpg,165,89,349,320
1148.jpg,151,133,320,473
1149.jpg,65,27,499,373
1150.jpg,20,178,211,329
1151.jpg,224,139,415,376
1152.jpg,159,40,278,294
1153.jpg,158,15,341,375
1154.jpg,92,32,325,373
1155.jpg,87,55,498,375
1156.jpg,18,92,400,288
1157.jpg,139,185,305,352
1158.jpg,118,102,283,225
1159.jpg,140,71,316,328
1160.jpg,135,106,311,267
1161.jpg,46,19,223,263
1162.jpg,139,83,344,277
1163.jpg,20,14,409,346
1164.jpg,13,33,270,435
1165.jpg,0,0,315,478
1166.jpg,40,37,251,375
1167.jpg,46,34,194,128
1168.jpg,183,118,354,239
1169.jpg,121,123,379,356
1170.jpg,123,60,446,323
1171.jpg,131,23,356,355
1172.jpg,100,103,376,458
1173.jpg,117,102,347,422
1174.jpg,46,55,204,308
1175.jpg,116,58,465,337
1176.jpg,70,40,219,145
1177.jpg,105,109,294,405
1178.jpg,29,25,452,269
1179.jpg,33,87,461,301
1180.jpg,174,187,398,399
1181.jpg,39,71,333,494
1182.jpg,109,124,415,438
1183.jpg,93,98,308,431
1184.jpg,14,106,254,455
1185.jpg,84,90,289,238
1186.jpg,148,41,343,418
1187.jpg,135,30,356,394
1188.jpg,80,140,382,303
1189.jpg,239,132,377,233
1190.jpg,141,65,419,305
1191.jpg,48,14,318,227
1192.jpg,86,35,325,173
1193.jpg,124,56,379,244
1194.jpg,119,118,289,267
1195.jpg,75,165,237,265
1196.jpg,24,131,459,257
1197.jpg,55,92,193,245
1198.jpg,130,103,288,253
1199.jpg,120,122,384,258
1200.jpg,28,132,201,367
1201.jpg,1,22,370,388
1202.jpg,40,47,234,477
1203.jpg,95,93,292,492
1204.jpg,179,95,435,272
1205.jpg,14,4,124,152
1206.jpg,295,98,409,222
1207.jpg,221,65,388,214
1208.jpg,115,92,277,315
1209.jpg,95,23,339,338
1210.jpg,68,50,202,353
1211.jpg,143,99,370,393
1212.jpg,72,95,305,218
1213.jpg,151,149,330,313
1214.jpg,91,241,261,424
1215.jpg,133,46,309,248
1216.jpg,142,119,421,278
1217.jpg,114,41,397,375
1218.jpg,27,18,341,290
1219.jpg,72,96,322,384
1220.jpg,60,70,300,291
1221.jpg,35,128,291,428
1222.jpg,151,58,429,281
1223.jpg,59,33,191,133
1224.jpg,121,48,339,311
1225.jpg,170,128,332,375
1226.jpg,38,59,374,214
1227.jpg,87,59,218,325
1228.jpg,165,173,334,349
1229.jpg,258,32,424,293
1230.jpg,11,83,288,209
1231.jpg,213,101,442,382
1232.jpg,30,7,176,127
1233.jpg,130,54,429,301
1234.jpg,48,68,213,271
1235.jpg,131,140,327,417
1236.jpg,67,100,206,493
1237.jpg,56,32,497,340
1238.jpg,96,108,345,312
1239.jpg,111,122,332,268
1240.jpg,172,152,361,264
1241.jpg,151,84,380,366
1242.jpg,105,28,299,193
1243.jpg,1,1,475,350
1244.jpg,174,141,294,276
1245.jpg,0,23,251,250
1246.jpg,142,109,366,375
1247.jpg,1,73,348,472
1248.jpg,51,53,268,345
1249.jpg,216,126,429,271
1250.jpg,53,151,303,425
1251.jpg,4,182,287,281
1252.jpg,120,128,245,418
1253.jpg,168,23,370,251
1254.jpg,132,114,318,329
1255.jpg,170,112,433,299
1256.jpg,7,111,424,297
1257.jpg,30,105,430,316
1258.jpg,142,119,344,257
1259.jpg,106,72,233,324
1260.jpg,20,73,411,314
1261.jpg,70,67,216,302
1262.jpg,145,43,475,209
1263.jpg,236,129,378,239
1264.jpg,120,116,323,214
1265.jpg,129,96,275,381
1266.jpg,159,39,283,261
1267.jpg,17,73,472,296
1268.jpg,111,55,437,262
1269.jpg,32,27,474,293
1270.jpg,112,82,310,461
1271.jpg,170,94,369,377
1272.jpg,103,95,376,259
1273.jpg,151,139,240,285
1274.jpg,56,127,336,289
1275.jpg,44,91,278,428
1276.jpg,23,11,207,320
1277.jpg,90,99,297,287
1278.jpg,134,113,424,331
1279.jpg,77,25,224,177
1280.jpg,67,51,235,186
1281.jpg,153,177,439,365
1282.jpg,192,142,415,316
1283.jpg,99,61,353,278
1284.jpg,204,114,477,337
1285.jpg,177,108,339,322
1286.jpg,94,122,292,347
1287.jpg,54,141,378,402
1288.jpg,114,78,273,207
1289.jpg,160,106,492,398
1290.jpg,45,73,433,241
1291.jpg,19,15,323,393
1292.jpg,215,83,329,366
1293.jpg,13,62,447,257
1294.jpg,66,65,324,263
1295.jpg,192,94,352,299
1296.jpg,148,95,292,221
1297.jpg,81,47,244,197
1298.jpg,27,22,367,295
1299.jpg,182,76,301,291
