ImageId, X_min, Y_min, X_max, Y_max
1194.jpg,121,117,289,269
1195.jpg,75,166,238,270
1196.jpg,23,104,449,268
1197.jpg,52,89,199,251
1198.jpg,133,101,287,252
1199.jpg,113,113,399,274
1200.jpg,31,132,201,369
1201.jpg,18,59,499,375
1202.jpg,47,40,232,479
1203.jpg,107,86,291,493
1204.jpg,178,93,444,269
1205.jpg,10,2,134,142
1206.jpg,293,97,398,228
1207.jpg,222,66,388,207
1208.jpg,113,92,290,312
1209.jpg,101,22,336,336
1210.jpg,70,46,202,352
1211.jpg,144,99,374,393
1212.jpg,70,94,329,217
1213.jpg,145,149,332,307
1214.jpg,81,241,263,425
1215.jpg,132,44,301,246
1216.jpg,150,122,411,253
1217.jpg,116,36,393,377
1218.jpg,34,24,341,291
1219.jpg,72,81,319,372
1220.jpg,67,70,301,282
1221.jpg,26,129,286,431
1222.jpg,150,55,430,290
1223.jpg,56,33,188,136
1224.jpg,119,44,342,302
1225.jpg,172,127,326,372
1226.jpg,33,52,383,216
1227.jpg,93,56,216,324
1228.jpg,172,173,336,347
1229.jpg,258,31,423,314
1230.jpg,16,76,288,206
1231.jpg,217,98,445,376
1232.jpg,33,10,170,124
1233.jpg,154,45,380,308
1234.jpg,41,67,211,276
1235.jpg,140,136,276,293
1236.jpg,67,97,204,485
1237.jpg,61,39,497,311
1238.jpg,92,107,339,294
1239.jpg,112,123,333,270
1240.jpg,171,146,357,270
1241.jpg,147,75,377,366
1242.jpg,104,27,297,188
1243.jpg,13,91,493,350
1244.jpg,180,141,293,276
1245.jpg,8,17,249,254
1246.jpg,142,108,366,365
1247.jpg,28,72,330,457
1248.jpg,49,45,267,357
1249.jpg,216,123,431,270
1250.jpg,53,149,303,417
1251.jpg,0,0,0,0
1252.jpg,122,130,242,418
1253.jpg,167,23,369,255
1254.jpg,131,110,314,320
1255.jpg,166,111,429,297
1256.jpg,142,64,495,294
1257.jpg,31,101,429,321
1258.jpg,140,125,335,259
1259.jpg,106,73,217,298
1260.jpg,23,68,412,326
1261.jpg,68,67,216,301
1262.jpg,148,46,470,210
1263.jpg,239,130,364,237
1264.jpg,117,113,325,218
1265.jpg,134,88,273,437
1266.jpg,165,38,278,231
1267.jpg,74,74,458,292
1268.jpg,123,51,439,261
1269.jpg,31,29,488,322
1270.jpg,119,76,308,449
1271.jpg,175,87,361,379
1272.jpg,122,92,374,264
1273.jpg,0,0,0,0
1274.jpg,67,126,336,284
1275.jpg,20,86,275,426
1276.jpg,27,16,214,309
1277.jpg,93,97,297,278
1278.jpg,134,120,429,315
1279.jpg,80,26,222,176
1280.jpg,67,47,237,179
1281.jpg,156,179,432,362
1282.jpg,192,140,416,322
1283.jpg,103,58,347,286
1284.jpg,207,114,476,331
1285.jpg,177,107,337,318
1286.jpg,92,123,286,351
1287.jpg,54,139,383,391
1288.jpg,111,76,271,205
1289.jpg,169,105,479,387
1290.jpg,41,67,428,244
1291.jpg,19,13,329,387
1292.jpg,208,76,325,422
1293.jpg,6,67,444,260
1294.jpg,75,78,323,253
1295.jpg,194,93,356,300
1296.jpg,154,96,286,218
1297.jpg,82,41,242,191
1298.jpg,36,13,367,308
1299.jpg,183,77,302,286
